site,category_name,category_id
ID,Tennis,12292
ID,Tennis Racket,12294
ID,Tennis Racket,12294
ID,Tennis Ball,12295
ID,Tennis Ball,12295
ID,Tennis Attire,12296
ID,Tennis Attire,12296
ID,Table Tennis,12297
ID,Table Tennis,12297
ID,Table Tennis Ball,12299
ID,Table Tennis Ball,12299
ID,Table Tennis Bat,12300
ID,Table Tennis Bat,12300
ID,Biking,12301
ID,Biking,12301
ID,Bicycle,12303
ID,Bicycle,12303
ID,Bicycle Helmet,12304
ID,Bicycle Component,12305
ID,Bicycle Component,12305
ID,Biking Accessories,12306
ID,Biking Accessories,12306
ID,Biking Attire,12307
ID,Biking Attire,12307
ID,Swimming & Diving,12310
ID,Swimming & Diving,12310
ID,Swimming Accessories,12313
ID,Swimming Accessories,12313
ID,Gym & Fitness,12316
ID,Gym & Fitness,12316
ID,Fitness Equipment,12325
ID,Fitness Equipment,12325
ID,Outdoor Sports,12328
ID,Outdoor Sports,12328
ID,Skateboard & Rollerblade,12329
ID,Skateboard & Rollerblade,12329
ID,Motorcycle,12338
ID,Motorcycle,12338
ID,Car,12354
ID,Car,12354
ID,Car,12355
ID,Car,12355
ID,Oil & Lube,12364
ID,Oil & Lube,12364
ID,Car Oil,12367
ID,Car Oil,12367
ID,Motorcycle Oil,12369
ID,Motorcycle Oil,12369
ID,Octane Booster,12370
ID,Octane Booster,12370
ID,Chain Lube,12371
ID,Chain Lube,12371
ID,Automotive Tools,12372
ID,Automotive Tools,12372
ID,Test & Diagnostic Tools,12374
ID,Test & Diagnostic Tools,12374
ID,Machine Tools,12375
ID,Machine Tools,12375
ID,Automotive Care,12376
ID,Automotive Care,12376
ID,Wash & Wax,12379
ID,Wash & Wax,12379
ID,Chamois Cloth,12380
ID,Chamois Cloth,12380
ID,Tire Bursting Prevention,12382
ID,Tire Bursting Prevention,12382
ID,Drinking Water Pump,12393
ID,Drinking Water Pump,12393
ID,Growing Media,12394
ID,Growing Media,12394
ID,Big Size Dress,12395
ID,Big Size Dress,12395
ID,Big Size Top,12396
ID,Big Size Top,12396
ID,Denim Skirt,12397
ID,Denim Skirt,12397
ID,Denim Jacket,12399
ID,Denim Jacket,12399
ID,Leggings,12400
ID,Leggings,12400
ID,Big Size Pants,12401
ID,Big Size Pants,12401
ID,Adult Prayer Attire,12402
ID,Adult Prayer Attire,12402
ID,Children Prayer Attire,12403
ID,Children Prayer Attire,12403
ID,Big Size Skirt,12404
ID,Big Size Skirt,12404
ID,Playsuit & Jumpsuit,12405
ID,Playsuit & Jumpsuit,12405
ID,Batik Set,12407
ID,Batik Set,12407
ID,Nursing Bra,12408
ID,Nursing Bra,12408
ID,Maternity Corset,12409
ID,Maternity Corset,12409
ID,Tunic,12410
ID,Tunic,12410
ID,Corset,12411
ID,Corset,12411
ID,Costume,12412
ID,Costume,12412
ID,Ethnic,12414
ID,Ethnic,12414
ID,Character,12415
ID,Character,12415
ID,Skirt,12418
ID,Skirt,12418
ID,Short,12419
ID,Short,12419
ID,Leggings,12421
ID,Leggings,12421
ID,Male Muslim Top,12422
ID,Male Muslim Top,12422
ID,Muslim Robe,12423
ID,Muslim Robe,12423
ID,Name Necklace,12426
ID,Name Necklace,12426
ID,Name bracelet,12427
ID,Name bracelet,12427
ID,Outerwear,12428
ID,Outerwear,12428
ID,Rope Bracelet,12430
ID,Rope Bracelet,12430
ID,Jacket,12431
ID,Jacket,12431
ID,Bracelet Set,12432
ID,Bracelet Set,12432
ID,Coat,12433
ID,Coat,12433
ID,Lens,12434
ID,Lens,12434
ID,Glasses Case,12435
ID,Glasses Case,12435
ID,Cardigan,12436
ID,Cardigan,12436
ID,Hair Crown & Headpiece,12437
ID,Hair Crown & Headpiece,12437
ID,Wig,12438
ID,Wig,12438
ID,Shawl,12440
ID,Shawl,12440
ID,Fashion Shawl,12442
