内部ID,item_id,站点,链接,title,商家名,商家地址,发货地址,价格,价格区间,近三天销量,近7天销量
9462548,193629707093,US,https://www.ebay.com/itm/193629707093,Women Boho Floral Pockets Mini Dress Casual Party Evening Summer A Line Sundress,dynast_56,US,"US,New York,Oceanside",11,10.62-,1,5
9440498,313252643240,US,https://www.ebay.com/itm/313252643240,Women Fall V Neck Long Sleeve Striped T-shirt Tunic Tops Casual Loose Blouse Tee,gljfc168,US,"US,New York,Oceanside",10,9.89-,3,5
9510979,254761473088,US,https://www.ebay.com/itm/254761473088,Women's Fashion Winter Vintage Tribal Knitted Cardigan Sweater Coat Blouse Top,luckygirls99,CN,"CN,Shenzhen",26,26.39-,2,6
9511003,193606398347,US,https://www.ebay.com/itm/193606398347,Womens Summer Off Shoulder Strap T Shirt Sleeveless Plus Size Tank Tops Blouse,dynast_56,US,"US,New York,Oceanside",8,8.49-,5,18
9511004,363105817869,US,https://www.ebay.com/itm/363105817869,Women's Hollow Long Sleeve Loose T-Shirt Ladies Summer Casual Blouse Tops Tee,downlightdirect,CN,"US,California",7,6.99-,2,6
9515991,293149138613,US,https://www.ebay.com/itm/293149138613,Summer Loose Casual Women Maxi Beach Dress Tunic Dress Plus Size Baggy Dresses@,hairstyle2009,CN,"CN,上海",14,14.32-,1,1
9515994,253487292147,US,https://www.ebay.com/itm/253487292147,Women Summer Chiffon Beach Mini Dress Swimwear Bikini Cover Up Loose Sundress,dorisea-it,CN,"CN,Shen Zhen",11,10.99-,0,0
9512193,313209917688,US,https://www.ebay.com/itm/313209917688,Women Long Sleeve Crew Neck T Shirt Casual Stitching Color Blouse Loose Fit Tops,gljfc168,US,"US,New York,Oceanside",13,13.19-,0,2
9512190,313209766085,US,https://www.ebay.com/itm/313209766085,Women Casual Pocket Long Sleeve T Shirt Solid Loose Tunic Tops Crew Neck Blouse,gljfc168,US,"US,New York,Oceanside",11,10.99-,0,1
9512192,133525207203,US,https://www.ebay.com/itm/133525207203,Womens Casual Slim Blazer Suit Jacket Solid Coats Formal Career OL Outwear Tops,wowlife78,US,"US,New York,Flushing",11,10.99-,6,12
9512191,313232221338,US,https://www.ebay.com/itm/313232221338,Women Floral Print A Line Long Sleeve Crew Neck Short Dress Casual T Shirt Dress,gljfc168,US,"US,New York,Oceanside",13,13.19-,3,9
9512189,313209818641,US,https://www.ebay.com/itm/313209818641,Women Casual Long Sleeve Tie-dye Print T Shirt Loose Crew Neck Tunic Tops Blouse,gljfc168,US,"US,New York,Oceanside",12,11.55-,0,4
9511155,313294356401,US,https://www.ebay.com/itm/313294356401,Women Long Sleeve Crew Neck T Shirt Solid Casual Blouse Loose Plus Cashmere Tops,gljfc168,US,"US,New York,Oceanside",9,8.79-,0,1
9511152,313203741255,US,https://www.ebay.com/itm/313203741255,Women Tie-dye Print Casual T Shirt Crew Neck Long Sleeve Blouse Loose Tunic Tops,gljfc168,US,"US,New York,Oceanside",13,13.19-,0,3
9511156,313202781913,US,https://www.ebay.com/itm/313202781913,Women Long Sleeve Crew Neck Blouse Casual Gradient Print T Shirt Loose Tunic Top,gljfc168,US,"US,New York,Oceanside",10,10.44-,1,2
9510103,203063696593,US,https://www.ebay.com/itm/203063696593,Women Skinny High Waist Jeans Ladies Stretchy Slim Jeggings Denim Pants Trousers,2011godseller,CN,"US,California",19,18.99-,1,2
9501062,164230924900,US,https://www.ebay.com/itm/164230924900,Women Ladies Flared Jeans Stretch Slim Skinny Denim Trousers Bell Bottom Pants,naco_231,CN,"CN,ShenZhen",28,27.99-,0,0
9510168,163366575287,US,https://www.ebay.com/itm/163366575287,AA CHICAGO Women's Long Sleeve Loose Plain Casual Long Dresses Pockets 1888,aachicago,US,"US,Illinois,Chicago",24,23.99-,0,0
9510429,363054968406,US,https://www.ebay.com/itm/363054968406,Women's Solid Wide Leg Jumpsuit Casual Party Long Pants Office Rompers Playsuit,365-buy-2011,CN,"US,California",18,17.85-,1,4
9510400,203112376150,US,https://www.ebay.com/itm/203112376150,Womens Ladies Leopard Hooded Jumper Sweatshirt Casual Long Sleeve Pullover Tops,bluejaguar,CN,"US,California",12,11.99-,5,10
9510393,133542582134,US,https://www.ebay.com/itm/133542582134,Womens Floral Loose T Shirt Casual Plus Size Sweatshirt Pullover Tops Blouse US,wowlife78,US,"US,New York,Flushing",11,10.99-,0,0
9510394,313219158276,US,https://www.ebay.com/itm/313219158276,Womens Casual Long Sleeve T Shirt Wide Collar Tops Loose Blouse Gradient Tunic,gljfc168,US,"US,New York,Oceanside",11,10.99-,4,12
9510392,313232197855,US,https://www.ebay.com/itm/313232197855,Womens Casual Long Sleeve T Shirt Round Neck Tops Loose Blouse Solid Tunic,gljfc168,US,"US,New York,Oceanside",11,10.99-,5,16
9510398,184526046076,US,https://www.ebay.com/itm/184526046076,Sequins Lip Hoodies Ladies Casual Jumper Pullover Women's Tops Hooded Sweatshirt,goodff,CN,"CN,Yiwu",10,9.69-,0,2
9510389,203097390038,US,https://www.ebay.com/itm/203097390038,US 2Pcs Womens Casual Tracksuit Jogging Gym Sports Hoodies Sweatshirt Pants Suit,bluejaguar,CN,"US,california",13,12.99-,3,17
9510384,313254890565,US,https://www.ebay.com/itm/313254890565,Women Long Sleeve Hooded Sweatshirt Camouflage Casual Hoodies Top Loose Pullover,gljfc168,US,"US,New York,Oceanside",13,13.19-,9,18
9510370,193701540816,US,https://www.ebay.com/itm/Women-Casual-Long-Sleeve-Plaid-Check-T-Shirt-Ladies-V-Neck-Top-Basic-Tee-Blouse/193701540816?hash=item2d1982f3d0:g:XhAAAOSwphhffsm1,Women Casual Long Sleeve Plaid Check T Shirt Ladies V Neck Top Basic Tee Blouse,dynast_56,US,"US,New York,Oceanside",11,10.62-,28,85
9510371,193635204092,US,https://www.ebay.com/itm/Summer-Women-V-Neck-Zipper-T-Shirt-Loose-Casual-Blouse-Short-Sleeve-Tunic-Tops/193635204092?hash=item2d158ebbfc:g:PHMAAOSwu4xe8beA,Summer Women V-Neck Zipper T Shirt Loose Casual Blouse Short Sleeve Tunic Tops,dynast_56,US,"US,New York,Oceanside",8,8.49-,8,22
