内部ID,item_id,站点,链接,title,商家名,商家地址,发货地址,价格,价格区间,近三天销量,近7天销量
9501332.00,224120920024.00,UK,https://www.ebay.co.uk/itm/224120920024,Women Casual V Neck Jumper Dress Ladies Winter Long Sleeve Bodycon Midi Dress UK,jellyballon,HK,"GB,London GB",8.55,8.55-,1.00,2.00
,,,,,,,,,,,
9512071.00,353207948017.00,-,https://www.ebay.co.uk/itm/353207948017,无此项数据,-,-,-,-,--,-,-
,,,,,,,,,,,
9515121.00,133563058168.00,UK,https://www.ebay.co.uk/itm/133563058168,Womens Long Sleeve Jumper Blouse Ladies Casual Loose Sweatshirt Pullover Tops,jellycabin,HK,"GB,London",6.25,6.25-,2.00,7.00
,,,,,,,,,,,
9507144.00,233787938775.00,UK,https://www.ebay.co.uk/itm/233787938775,Women Velvet Sexy V Neck Mini Dress Long Sleeve Ruffle Evening Cocktail Dress,perfectonly,CN,"GB,London",6.72,6.72-,1.00,3.00
,,,,,,,,,,,
9512074.00,363153033923.00,UK,https://www.ebay.co.uk/itm/363153033923,UK8-22 Women Plus Midi Dress Tunic Dress Pocket Long Sleeve Casual Buttons Tops,rzano_19,GB,"GB,Manchester",5.99,5.99-,2.00,2.00
,,,,,,,,,,,
9500245.00,114441033044.00,UK,https://www.ebay.co.uk/itm/114441033044,Women V Neck Knit Baggy Sweater Jumper Long Sleeve Ladies Casual Pullover Tops,x-amazing,CN,"GB,London GB",8.52,8.52-,0.00,0.00
,,,,,,,,,,,
9452930.00,283787641219.00,UK,https://www.ebay.co.uk/itm/283787641219,Ladies Plain Baggy Batwing Sleeve Sweatshirt Knitted Sweater Jumper Pullover Top,jayfactory,CN,"GB,Leicester",12.34,12.34-,0.00,3.00
,,,,,,,,,,,
9511875.00,124474964713.00,UK,https://www.ebay.co.uk/itm/124474964713,Womens Cold Shoulder Tassels Long Sleeve Slim Fit T Shirt High Neck Blouse Tops,kyliegrand7kg,Hong Kong,"GB,London",7.72,7.72-,0.00,0.00
,,,,,,,,,,,
9515122.00,293605474539.00,UK,https://www.ebay.co.uk/itm/293605474539,Women Letter Print Long Sleeve T-Shirt Tops Ladies Baggy Casual Blouse Plus Size,sheinbuy,CN,"GB,Leicester",12.29,12.29-,0.00,4.00
,,,,,,,,,,,
9515125.00,193629009056.00,UK,https://www.ebay.co.uk/itm/193629009056,Womens Long Sleeve dyeing Blouse Hooded Sweatshirt Tunic Tops T Shirt 14-24 uk,goldsilver77,CN,"GB,Leicestershire",8.39,8.39-,0.00,0.00
,,,,,,,,,,,
9515123.00,143755403992.00,UK,https://www.ebay.co.uk/itm/143755403992,UK Ladies Tie Bow Neck Victorian Shirt Formal Party Blouse Womens Plus Size Tops,zanzea_fad,CN,"CN,Shenzhen",8.99,8.99-,1.00,4.00
,,,,,,,,,,,
9504403.00,373349411307.00,UK,https://www.ebay.co.uk/itm/373349411307,Women's Crew Neck Button Long Sleeve T Shirts Ladies Casual Loose Tunic Tops,osbo3222,China,"GB,Liverpool",15.59,15.59-,0.00,0.00
,,,,,,,,,,,
9497976.00,392961064392.00,UK,https://www.ebay.co.uk/itm/392961064392,UK Womens Mesh Ladies Party Bodycon Casual Puff Sleeve Wrap Jumper Mini Dress,verimore,HK,"GB,Manchester",10.79,10.79-,0.00,1.00
,,,,,,,,,,,
9500319.00,124353735127.00,UK,https://www.ebay.co.uk/itm/124353735127,Womens V Neck Chiffon Shirt Tops Ladies OL Office Casual Long Sleeve Blouse UK,kyliegrand7kg,Hong Kong,"GB,London",6.20,6.2-,0.00,4.00
